strategy,trades,ending_bankroll,total_return,max_drawdown,win_rate,profit_factor,worst_144_return,median_144_return,positive_144_rate,active_144_rate,worst_864_return,median_864_return,positive_864_rate,active_864_rate,split,family
classic_sharpdrop_reversal_up,146,41.78521193003726,-0.5821478806996274,0.8085132612507312,0.2191780821917808,0.870584980676616,-0.2916935022393786,-0.06976990288636742,0.3157894736842105,1.0,-0.6282093697479068,-0.3911914457293665,0.14245336348219334,1.0,full,classic_quant
classic_extremeup_fade_down,131,27.312349709328732,-0.7268765029067127,0.8660825569335726,0.1450381679389313,0.770033819646765,-0.36892822275453263,-0.12145237727537539,0.3141824025713138,1.0,-0.7861836106498682,-0.3694546220580077,0.09270774448841153,1.0,full,classic_quant
micro_book_consensus_down,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,full,microstructure
micro_book_consensus_up,40,98.27372496693651,-0.017262750330634846,0.1437462792534857,0.625,0.9734607606231814,-0.10518892622524578,0.0,0.33627963037364406,0.7408597830453998,-0.13364808835712916,-0.018509331985895328,0.1989824759751272,1.0,full,microstructure
game_pm_overshoot_fade_up,129,26.013834499023503,-0.739861655009765,0.7829576456408367,0.26356589147286824,0.5394843641251706,-0.2580433728358481,-0.060136616671760734,0.29208517476898355,1.0,-0.573983048100559,-0.38451174433013613,0.0,1.0,full,game_theory
game_pm_squeeze_fade_down,123,38.11056949999485,-0.6188943050000515,0.6996147958290304,0.2845528455284553,0.7575340346521152,-0.30932581177955654,-0.05721986139539936,0.2892728003214142,0.9979911611088791,-0.48222929227789013,-0.2916701046407194,0.014697569248162803,1.0,full,game_theory
timeseries_momentum_up,9,98.23261683664622,-0.017673831633537862,0.07949173053650656,0.6666666666666666,0.8529883011809218,-0.07949173053650671,0.0,0.25672961028525515,0.3909200482121334,-0.07949173053650671,0.001876155840789373,0.5115884680610514,1.0,full,time_series
timeseries_momentum_down,6,87.35337344667215,-0.12646626553327844,0.15277603481487395,0.3333333333333333,0.19714334639849684,-0.04067796610169494,0.0,0.0,0.2129369224588188,-0.07956939990838297,-0.04063492063492058,0.0,0.9310344827586207,full,time_series
timeseries_reversion_down,131,28.764147621932025,-0.7123585237806798,0.8492397641840703,0.13740458015267176,0.7442410398970263,-0.3379582265982022,-0.10743342322530869,0.3141824025713138,1.0,-0.7749483322454054,-0.3356476979858486,0.10457885811192764,1.0,full,time_series
ml_logit_edge_06,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,full,ml_value
ml_logit_edge_10,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,full,ml_value
portfolio_micro_ts_mix,159,27.62208825123171,-0.7237791174876829,0.7301495888670969,0.27044025157232704,0.6109614750517485,-0.2744551539713358,-0.05280911921603548,0.28766572920851746,1.0,-0.43828922697496975,-0.2744711725045059,0.0,1.0,full,portfolio
portfolio_conservative_v2,35,100.94052028573155,0.009405202857315498,0.20835588013168022,0.7142857142857143,1.0196771636165154,-0.13094496583850923,0.0,0.3848935315387706,0.6134993973483327,-0.16007206370559013,0.026125010148673633,0.5850763143018655,1.0,full,portfolio
v1_active_fill_mix,25,95.33037042229057,-0.04669629577709433,0.1624725822793739,0.72,0.9016451273834837,-0.14486146460206462,0.025634034242034254,0.579750346740638,0.8515950069348127,-0.04669629577709378,-0.04669629577709378,0.0,1.0,latest72h,previous_v1
v1_conservative_mix,17,95.7989568909819,-0.04201043109018099,0.14486146460206453,0.7058823529411765,0.8929260195227858,-0.14486146460206462,0.012439024390243913,0.5256588072122053,0.8515950069348127,-0.0420104310901811,-0.0420104310901811,0.0,1.0,latest72h,previous_v1
v1_balanced_mix,17,94.49627418994493,-0.05503725810055071,0.18114933294153288,0.7058823529411765,0.8921145662543138,-0.1811493329415328,0.012175259527849702,0.5256588072122053,0.8515950069348127,-0.05503725810055027,-0.05503725810055027,0.0,1.0,latest72h,previous_v1
v1_adaptive_mix,17,94.36054340108981,-0.056394565989101864,0.1766951772772723,0.7058823529411765,0.8854721780522231,-0.17669517727727235,0.006544262127898159,0.5561719833564494,0.8515950069348127,-0.056394565989101975,-0.056394565989101975,0.0,1.0,latest72h,previous_v1
v1_logit_overlay_mix,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,latest72h,previous_v1
classic_milddrop_down,35,75.79991796011514,-0.24200082039884863,0.27985272606836376,0.6,0.6424007657072248,-0.21777077744115247,-0.012627229786051908,0.43966712898751736,1.0,-0.24200082039884918,-0.24200082039884918,0.0,1.0,latest72h,classic_quant
classic_breakout_up,9,115.11606858630589,0.15116068586305875,0.017124419726394165,0.8888888888888888,9.043884943755788,-0.00620357994557641,0.006990528995969747,0.6047156726768377,0.624133148404993,0.15116068586305875,0.15116068586305875,1.0,1.0,latest72h,classic_quant
classic_early_drop_down,60,103.05653449247734,0.030565344924773363,0.1978793026360701,0.75,1.0500200813044465,-0.1912156439715066,0.051846665914564216,0.6158113730929264,1.0,0.03056534492477314,0.03056534492477314,1.0,1.0,latest72h,classic_quant
classic_sharpdrop_reversal_up,45,51.38168689751952,-0.4861831310248048,0.596907619238074,0.17777777777777778,0.5498934360677082,-0.27692092098660803,-0.1643096733511522,0.18307905686546463,1.0,-0.4861831310248049,-0.4861831310248049,0.0,1.0,latest72h,classic_quant
classic_extremeup_fade_down,39,58.91804027210992,-0.4108195972789008,0.5186949550515761,0.15384615384615385,0.549651037644389,-0.29872023071679,-0.09157629122073896,0.13592233009708737,1.0,-0.4108195972789008,-0.4108195972789008,0.0,1.0,latest72h,classic_quant
micro_book_consensus_down,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,latest72h,microstructure
micro_book_consensus_up,15,98.93746128726512,-0.010625387127348729,0.12145619761905022,0.6,0.958635881197405,-0.0635691382077711,-0.004339058963668818,0.4812760055478502,1.0,-0.01062538712734895,-0.01062538712734895,0.0,1.0,latest72h,microstructure
game_pm_overshoot_fade_up,49,71.54313557398726,-0.2845686442601274,0.3870703549034974,0.2857142857142857,0.7156728203275271,-0.2565342528016735,-0.023950855181087083,0.3633841886269071,1.0,-0.2845686442601274,-0.2845686442601274,0.0,1.0,latest72h,game_theory
game_pm_squeeze_fade_down,39,53.968721801399376,-0.4603127819860062,0.5586965908131688,0.20512820512820512,0.5190348616022799,-0.3099991707039199,-0.0663378083902344,0.22191400832177532,1.0,-0.4603127819860058,-0.4603127819860058,0.0,1.0,latest72h,game_theory
timeseries_momentum_up,2,105.16961538461538,0.05169615384615378,0.0,1.0,,0.0,0.0,0.39944521497919555,0.39944521497919555,0.05169615384615378,0.05169615384615378,1.0,1.0,latest72h,time_series
timeseries_momentum_down,2,92.0430600091617,-0.07956939990838297,0.07956939990838294,0.0,0.0,-0.04067796610169494,0.0,0.0,0.34535367545076284,-0.07956939990838297,-0.07956939990838297,0.0,1.0,latest72h,time_series
timeseries_reversion_down,39,62.490537701895924,-0.3750946229810408,0.4778807742457818,0.15384615384615385,0.5532727135630453,-0.2662753654548795,-0.08102269395697614,0.13592233009708737,1.0,-0.37509462298104046,-0.37509462298104046,0.0,1.0,latest72h,time_series
ml_logit_edge_06,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,latest72h,ml_value
ml_logit_edge_10,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,latest72h,ml_value
portfolio_micro_ts_mix,57,92.69684500663288,-0.07303154993367111,0.20185822752890195,0.3157894736842105,0.9355738463122146,-0.16164852779303007,0.03699501795630766,0.550624133148405,1.0,-0.07303154993367023,-0.07303154993367023,0.0,1.0,latest72h,portfolio
portfolio_conservative_v2,3,93.8398049002683,-0.06160195099731691,0.06160195099731695,0.3333333333333333,0.32092900605453983,-0.06160195099731702,0.0,0.0,0.24133148404993066,-0.06160195099731702,-0.06160195099731702,0.0,1.0,latest72h,portfolio
