strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,max_drawdown,source_layer
classic_trend_up_basic,fixed_20pct,20,88.32451747344112,-0.1167548252655887,0.034016271599727,0.4293696224333039,classic
rule_rise30to50_up,fixed_20pct,20,88.32451747344112,-0.1167548252655887,0.034016271599727,0.4293696224333039,bankroll
rule_rise30to50_up,fixed_20pct,20,88.32451747344112,-0.1167548252655887,0.034016271599727,0.4293696224333039,optimizer
rule_drop10_down_combo80_liq,fixed_10pct,18,87.49004957807512,-0.1250995042192488,-0.0488983564675434,0.320817251192418,optimizer
value_up_margin2,fixed_15pct,9,87.46475778491856,-0.1253524221508144,-0.0382218663153152,0.3453418708049074,classic
rule_drop30_down,full_kelly,6,87.46107316071198,-0.1253892683928802,-0.0651629584268898,0.3140343725856475,optimizer
rule_rise30to50_up_size_pos,half_kelly_capped20,2,87.21781616883571,-0.1278218383116428,-0.2682362833718731,0.2028169014084507,optimizer
value_down_margin5,fixed_15pct,29,86.901023230416,-0.13098976769584,0.0592670860731926,0.5715912111275944,classic
rule_drop10_down_combo80_liq,full_kelly,4,86.63581021890252,-0.1336418978109748,0.2684765960311717,0.2962665596146124,optimizer
rule_drop10_down_good_liq400,quarter_kelly_capped20,1,86.57165796868728,-0.1342834203131272,-1.018867924528302,0.1342834203131272,optimizer
rule_drop10_down_good_liq400,quarter_kelly,1,86.57165796868728,-0.1342834203131272,-1.018867924528302,0.1342834203131272,optimizer
rule_drop10_down_combo80_neg,half_kelly_capped20,9,86.55427176756336,-0.1344572823243663,-0.2738292071650104,0.1946381665799319,optimizer
rule_drop10_down_combo80_neg,half_kelly,9,86.55427176756336,-0.1344572823243663,-0.2738292071650104,0.1946381665799319,optimizer
price_interval_up_45_65,fixed_10pct,3,85.72608679742389,-0.1427391320257611,-0.4701771077283372,0.1930106026785714,extended_classic
value_down_margin5,fixed_15pct,28,85.59945691435347,-0.1440054308564653,0.0569394215651192,0.4317044400772395,extended_classic
value_up_margin2,fixed_15pct,8,85.52710434327433,-0.1447289565672567,-0.0875201475499351,0.3453418708049074,extended_classic
rule_rise30to50_up_pricecap80,full_kelly,3,85.44140438618251,-0.1455859561381749,0.0283125866568794,0.3103298611111111,optimizer
price_interval_down_55_75,fixed_15pct,37,85.22785210014023,-0.1477214789985977,0.0220125145259563,0.593286780108268,extended_classic
value_down_margin2,quarter_kelly_capped20,35,85.13342107110971,-0.1486657892889029,0.0072609975383147,0.416094524613582,extended_classic
rule_drop10_down_combo75_neg,fixed_20pct,23,83.98277053684971,-0.1601722946315028,0.0212271864275535,0.603734959121873,optimizer
rule_drop10_down_combo75_neg,quarter_kelly_capped20,11,83.97262918064709,-0.1602737081935291,-0.1425118161182551,0.1750259440599748,optimizer
rule_drop10_down_combo75_neg,quarter_kelly,11,83.97262918064709,-0.1602737081935291,-0.1425118161182551,0.1750259440599748,optimizer
classic_trend_down_combo,fixed_15pct,15,83.95328483845192,-0.1604671516154807,-0.0380323442803478,0.3523518349084563,classic
