strategy,sizing,first_quote_ts,slug,side,entry_price,qhat_for_side,target_cost,shares,best_price_max_cost,outcome_up,pnl_usd,bankroll_after
model_value_random_forest,quarter_kelly,2026-04-26 14:40:02+00:00,btc-updown-5m-1777214400,buy_up,0.84,0.898519841269841,4.652505201638584,5.538696668617362,93.29879999999999,0.0,-4.707892168324757,46.174052560791296
model_value_random_forest,quarter_kelly,2026-04-26 14:45:01+00:00,btc-updown-5m-1777214700,buy_up,0.23,0.3306782106782106,1.5093249972669207,6.5622825968126985,12.592500000000001,0.0,-1.5749478232350478,44.599104737556246
model_value_random_forest,quarter_kelly,2026-04-26 14:50:00+00:00,btc-updown-5m-1777215000,buy_down,0.1,0.2187988215488217,1.471755856931709,14.71755856931709,7.344,1.0,-1.61893144262488,42.98017329493137
model_value_random_forest,quarter_kelly,2026-04-26 15:00:02+00:00,btc-updown-5m-1777215600,buy_down,0.31,0.40486411736411754,1.4772739868769855,4.765399957667695,72.8593,0.0,3.240471971214032,46.220645266145404
model_value_random_forest,quarter_kelly,2026-04-26 15:05:00+00:00,btc-updown-5m-1777215900,buy_up,0.09,0.2626771284271284,2.1926506314854217,24.362784794282465,73.2591,0.0,-2.436278479428246,43.78436678671716
model_value_random_forest,quarter_kelly,2026-04-26 15:15:02+00:00,btc-updown-5m-1777216500,buy_down,0.26,0.4558941798941799,2.8976698053614616,11.144883866774851,15.2516,1.0,-3.00911864402921,40.77524814268795
model_value_random_forest,quarter_kelly,2026-04-26 15:20:01+00:00,btc-updown-5m-1777216800,buy_up,0.14,0.2254083694083695,1.0123684465373908,7.23120318955279,30.755200000000006,0.0,-1.0846804784329187,39.69056766425503
model_value_random_forest,quarter_kelly,2026-04-26 15:25:01+00:00,btc-updown-5m-1777217100,buy_down,0.13,0.1473882506382509,0.19831883290819619,1.5255294839092013,8.7178,1.0,-0.2135741277472882,39.47699353650774
model_value_random_forest,quarter_kelly,2026-04-26 15:30:02+00:00,btc-updown-5m-1777217400,buy_up,0.31,0.4915649350649351,2.596970205802497,8.377323244524185,85.40809999999999,0.0,-2.680743438247739,36.79625009826
model_value_random_forest,quarter_kelly,2026-04-26 15:35:00+00:00,btc-updown-5m-1777217700,buy_down,0.31,0.39009427609427627,1.067814860363796,3.4445640656896646,34.2767,1.0,-1.1022605010206927,35.69398959723931
model_value_random_forest,quarter_kelly,2026-04-26 15:50:02+00:00,btc-updown-5m-1777218600,buy_down,0.14,0.15058730158730171,0.10985553276743666,0.7846823769102618,69.531,1.0,-0.11770235653653928,35.57628724070277
model_value_random_forest,quarter_kelly,2026-04-26 15:55:02+00:00,btc-updown-5m-1777218900,buy_down,0.86,0.8848709716209716,1.580030054184024,1.8372442490511907,27.958599999999997,1.0,-1.5984024966745358,33.97788474402823
