strategy,sizing,entry_minute,remaining_minutes,first_quote_ts,slug,side,target_cost,shares,entry_price,pnl_usd,bankroll_after
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 13:40:01+00:00,btc-updown-5m-1777210800,buy_down,20.77681163879427,26.98287225817438,0.77,5.936231896798363,89.04347845197545
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 13:45:01+00:00,btc-updown-5m-1777211100,buy_down,22.26086961299386,25.884732108132397,0.86,3.365015174057212,92.40849362603265
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 13:55:00+00:00,btc-updown-5m-1777211700,buy_down,11.3929,19.31,0.59,-11.585999999999999,80.82249362603265
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 14:00:02+00:00,btc-updown-5m-1777212000,buy_down,20.205623406508163,21.96263413750887,0.92,1.5373843896256203,82.35987801565827
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 14:05:01+00:00,btc-updown-5m-1777212300,buy_down,20.589969503914567,22.139752154746844,0.93,-20.811367025462037,61.548510990196235
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 14:10:01+00:00,btc-updown-5m-1777212600,buy_down,15.387127747549059,21.07825718842337,0.73,-15.597910319433293,45.95060067076294
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 14:15:01+00:00,btc-updown-5m-1777212900,buy_down,11.487650167690735,14.727756625244531,0.78,-11.63492773394318,34.31567293681976
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 14:30:01+00:00,btc-updown-5m-1777213800,buy_down,8.57891823420494,12.255597477435629,0.7,3.554123268456333,37.86979620527609
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 14:35:01+00:00,btc-updown-5m-1777214100,buy_down,9.467449051319022,13.149234793498643,0.72,-9.59894139925401,28.27085480602208
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 14:45:01+00:00,btc-updown-5m-1777214700,buy_down,7.06771370150552,9.061171412186564,0.78,1.9028459965591782,30.17370080258126
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 15:05:00+00:00,btc-updown-5m-1777215900,buy_down,7.543425200645315,8.199375218092733,0.92,0.573956265266491,30.74765706784775
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 15:20:01+00:00,btc-updown-5m-1777216800,buy_down,3.8280000000000003,4.4,0.87,0.5280000000000001,31.27565706784775
